nb_clean,nb_att,rf_clean,rf_att,lr_clean,lr_att,nn_clean,nn_att
0.887054735,0.7819287576,0.9470026064,0.6941789748,0.941789748,0.687228497,0.9313640313,0.5881841877
0.8905299739,0.7793223284,0.9478714162,0.674196351,0.9218071242,0.6542137272,0.9374456994,0.5847089487
0.9113814075,0.5855777585,0.9487402259,0.7115551694,0.9400521286,0.6559513467,0.9331016507,0.6629018245
0.8913987837,0.7758470895,0.9383145091,0.6750651607,0.9244135534,0.642050391,0.9287576021,0.5821025195
0.8861859253,0.5881841877,0.9478714162,0.7115551694,0.9244135534,0.6585577758,0.9331016507,0.5629887055
0.8905299739,0.5803649001,0.9383145091,0.6785403997,0.9339704605,0.6820156386,0.9304952215,0.593397046
0.8757602085,0.5855777585,0.9461337967,0.7002606429,0.9331016507,0.6724587315,0.9261511729,0.5899218071
0.8957428323,0.787141616,0.9530842745,0.6863596872,0.9383145091,0.6437880104,0.9287576021,0.615986099
0.8757602085,0.5873153779,0.9426585578,0.7080799305,0.9209383145,0.6724587315,0.932232841,0.5603822763
0.8722849696,0.7654213727,0.932232841,0.6880973067,0.9218071242,0.6463944396,0.9331016507,0.5951346655
